"agency","city","cfo_file","gazette_date","seizure_date","location","offence","police_file","seized_goods","year","version"
"Abbotsford Police Department","Abbotsford","R-09818","February 3, 2022","2021-7-6","2500 block of Clearbrook Road, Abbotsford, Abbotsford, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10732","3321.45 CAD","2021",2
"Abbotsford Police Department","Abbotsford","R-09818","February 3, 2022","2021-7-6","2500 block of Clearbrook Road, Abbotsford, Abbotsford, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10732","53 USD","2021",2
"New Westminster Police Department","New Westminster","R-09915","February 3, 2022","2021-8-4","McBride Boulevard and Moss Crescent, New Westminster, New Westminster, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10824","1205 CAD","2021",2
"RCMP CFSEU","Langley","R-10032","February 3, 2022","2021-4-25","20400 block of 88th Avenue, Langley, Langley, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10939","780 CAD","2021",2
"RCMP CFSEU","Langley","R-10032","February 3, 2022","2021-4-25","20400 block of 88th Avenue, Langley, Langley, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10939","Cell phone","2021",2
"RCMP CFSEU","Surrey","R-10035","February 3, 2022","2021-7-4","64th Avenue and 190th Street, Surrey, Surrey, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10944","1350 CAD","2021",2
"RCMP CFSEU","Surrey","R-10035","February 3, 2022","2021-7-4","64th Avenue and 190th Street, Surrey, Surrey, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10944","Apple iPhone","2021",2
"Coquitlam RCMP","Coquitlam","R-10036","February 3, 2022","2020-12-17","3000 block of Lougheed Highway, Coquitlam, Coquitlam, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10945","315 CAD","2020",2
"Chilliwack RCMP","Chilliwack","R-10038","February 3, 2022","2019-9-19","46200 block of 2nd Avenue, Chilliwack, Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10947","130 CAD","2019",2
"Chilliwack RCMP","Chilliwack","R-10038","February 3, 2022","2019-9-19","46200 block of 2nd Avenue, Chilliwack, Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10947","300 CAD","2019",2
"Chilliwack RCMP","Chilliwack","R-10038","February 3, 2022","2019-9-19","46200 block of 2nd Avenue, Chilliwack, Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10947","3.60 CAD","2019",2
"RCMP CFSEU","Prince George","R-10039","February 3, 2022","2020-2-29","Quebec Street and 3rd Avenue, Prince George, Prince George, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10948","620 CAD","2020",2
"RCMP CFSEU","Surrey","R-10052","February 3, 2022","2020-11-24","10400 block of 132nd Street, Surrey, Surrey, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10961","390 CAD","2020",2
"Burnaby RCMP","Burnaby","R-10056","February 3, 2022","2021-7-24","Hastings Street and Howard Avenue, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11513","820 CAD","2021",2
"Burnaby RCMP","Burnaby","R-10056","February 3, 2022","2021-7-24","Hastings Street and Howard Avenue, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11513","1 USD","2021",2
"Burnaby RCMP","Burnaby","R-10056","February 3, 2022","2021-7-24","Hastings Street and Howard Avenue, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11513","LG cell phone","2021",2
"RCMP CFSEU","Langley","R-10059","February 3, 2022","2020-12-12","204th Street and 80th Avenue, Langley, Langley, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10969","360 CAD","2020",2
"RCMP CFSEU","Langley","R-10059","February 3, 2022","2020-12-12","204th Street and 80th Avenue, Langley, Langley, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10969","202.65 CAD","2020",2
"Vancouver Police Department","Vancouver","R-10072","February 3, 2022","2021-7-24","100 block of East Hastings Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10983","1285.30 CAD","2021",2
"RCMP CFSEU","Ridge Meadows","R-10074","February 3, 2022","2021-7-16","228th Street and 117th Avenue, Ridge Meadows, Ridge Meadows, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10986","815 CAD","2021",2
"RCMP CFSEU","Ridge Meadows","R-10074","February 3, 2022","2021-7-16","228th Street and 117th Avenue, Ridge Meadows, Ridge Meadows, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10986","Cell phone","2021",2
